,Mean,SD
PEOE_VSA10,0.09666782664323008,0.011968551883856733
AATS8p,0.1599143534154073,0.01863911537545441
ATSC4are,0.11642188609529595,0.016424535669825505
AATSC4se,0.15366650080095462,0.019479173972858838
ATSC3s,0.14654438815022222,0.02523760513626666
SlogP_VSA10,0.14994000995994372,0.023898676715505603
VSA_EState4,0.0641898398551689,0.005014656633777999
nFaRing,0.021800139656678586,0.004744217816115172
ATSC4c,0.062291241270005605,0.005154784672644507
GATS3c,0.0690229920186065,0.007064068886002962
