Name,0
Metoprolol,1.1
Compound 33 ,-0.1
GW396574X ,2.7
Compound 39 ,1.1
Compound 2 ,-0.1
Compound 14 ,1.7
GW300657X ,0.7
GW806290X ,1.9
Compound 44 ,2.0
Imipramine,2.6
Ondansetron,1.4
GW305178X ,2.0
Compound 62 ,2.3
Astemizole,2.4
GSK614526A ,2.6
Compound 30 ,1.0
Compound 42 ,2.1
GSK938890A ,3.4
Compound 27 ,0.0
Compound 28 ,2.0
Compound 26 ,1.1
GW843682X ,2.4
Diclofenac,1.6
Compound 46 ,2.7
Compound 19 ,0.3
GW301784X ,0.5
Compound 41 ,1.8
Compound 25 ,0.1
Diltiazem,1.7
GSK317315A ,3.1
Verapamil,2.2
Compound 5 ,-0.3
Compound 32 ,0.9
GW810576X ,2.0
GSK237700A ,2.5
SB-725317 ,2.1
Compound 35 ,1.9
GSK326090A ,4.1
sesamin,-0.3
Compound 64 ,1.9
Simvastatin acid,1.6
Saquinavir,2.4
Compound 55 ,-0.1
Compound 1 ,0.0
GSK619487A ,2.5
GW804482X ,1.9
Compound 51 ,-0.2
Compound 37 ,2.0
GSK237701A ,2.7
Compound 36 ,2.0
Propranolol,2.1
Compound 11 ,0.9
Compound 45 ,2.0
Fexofenadine,0.2
GW275944X ,2.2
GSK579289A ,3.0
Lovastatin,2.6
Pravastatin,-0.2
Compound 12 ,0.0
Compound 17 ,-0.2
GW801372X ,2.1
GW831091X ,0.5
Candesartan,0.2
Compound 20 ,-0.2
Compound 40 ,2.2
GSK1007102B ,3.4
Irinotecan,0.9
Compound 10 ,0.0
GW513184X ,1.7
Caffeine,-0.1
Lopinavir,1.7
Compound 56 ,-0.7
Compound 52 ,0.0
GW778894X ,2.2
Compound 48 ,1.3
GW779439X ,3.0
Compound 63 ,1.6
sesamol,-1.9
GSK317314A ,2.9
SB-675259-M ,0.7
GW290597X ,0.8
Compound 43 ,1.6
Compound 60 ,2.0
GW276655X ,2.0
Compound 50 ,-0.1
GSK978744A ,1.6
Olmesartan,-0.2
Compound 24 ,1.0
Compound 59 ,-0.3
GSK204925A ,1.8
Compound 34 ,-0.2
SB-732881 ,1.4
Compound 61 ,1.5
Compound 65 ,1.0
Pitavastatin,0.6
Compound 4 ,-0.2
Compound 31 ,0.7
GW784752X ,2.4
Rosiglitazone,1.2
Atorvastatin,0.4
Compound 54 ,-0.6
Prazosin,1.4
GW589933X ,1.5
GW416469X ,1.3
GW852849X ,2.0
GSK943949A ,3.4
GSK1030059A ,2.9
Ketoconazole,2.4
sesamolin,0.3
Compound 23 ,1.3
Fluvastatin,1.7
GW780056X ,2.1
Compound 18 ,-0.1
GW297361X ,1.5
GW572399X ,2.1
