,Mean,SD
ABC,2.5687973208077253e-05,7.914055567026277e-06
ABCGG,-2.0848594241973385e-05,1.6626951661862435e-05
nAcid,0.0,0.0
nBase,-2.717740839852656e-06,6.606351530871213e-06
SpAbs_A,3.354543368974117e-05,2.8325260343384682e-05
SpMax_A,0.0006900907079200657,0.0001991316647871784
SpDiam_A,0.0002060855936484196,7.558742330588562e-05
SpAD_A,9.611712405466211e-06,8.096517451939387e-06
SpMAD_A,0.0002325465181373443,9.350080053920736e-05
LogEE_A,4.313156886778247e-05,2.5341328669750172e-05
VE1_A,0.0004914027346059168,0.0002626403086427872
VE2_A,1.453249732249473e-05,2.76683670035274e-05
VE3_A,-1.9842828183902483e-05,3.6584827503193254e-05
VR1_A,4.616086247433149e-05,6.596468045522902e-05
VR2_A,0.00022550324384109643,5.842402969362549e-05
VR3_A,-1.2733260656794254e-05,5.0102467700003044e-05
nAromAtom,1.4524599879162103e-05,2.273245900775268e-05
nAromBond,5.791591482884329e-06,3.092354120273364e-06
nAtom,5.72872571636962e-06,1.2997938332471674e-05
nHeavyAtom,4.0139959351592754e-06,1.2866309885741864e-05
nSpiro,0.0,0.0
nBridgehead,0.0,0.0
nHetero,2.0799854950626084e-05,1.0220811082560937e-05
nH,-1.2459686633992106e-06,2.2696078708574185e-05
nB,0.0,0.0
nC,-4.636057845164299e-06,4.583472445610981e-06
nN,0.0002750309889441027,8.642809864289616e-05
nO,6.00271382033668e-05,3.2419281359254054e-05
nS,-3.860026142898931e-06,2.24479785287565e-06
nP,0.0,0.0
nF,1.2472621743353506e-05,8.577915480243889e-06
nCl,-9.153882722989781e-06,8.431035820403082e-06
nBr,1.9349027176041033e-07,1.60939200746224e-06
nI,0.0,0.0
nX,3.3726831235147968e-06,7.249836826322114e-06
ATS0dv,0.00013025106196498104,5.729229598895131e-05
ATS1dv,0.00021886682910434718,8.323047759909718e-05
ATS2dv,0.00016012633204888217,0.00010619940174203359
ATS3dv,1.046087341829427e-05,6.9103011983314805e-06
ATS4dv,7.72901771758261e-05,6.130204702212739e-05
ATS5dv,0.00012863764653293642,6.890911219411484e-05
ATS6dv,0.00017904121687998265,8.084072102762947e-05
ATS7dv,0.0007587077585071045,0.00026902298581652135
ATS8dv,0.00010458046903638607,9.179183047669806e-05
ATS0d,-4.746646582964864e-06,1.3624709709303074e-05
ATS1d,3.290843174958979e-05,1.8307843538204825e-05
ATS2d,1.7584596804232077e-07,5.587173316519856e-06
ATS3d,-6.756043636990672e-06,1.87331770631223e-05
ATS4d,0.00010674132661283586,4.4266825074927006e-05
ATS5d,3.981375178404578e-05,5.688019429732547e-05
ATS6d,2.364109510598622e-05,8.333116575634962e-06
ATS7d,5.9495221238903274e-05,2.3022883140222015e-05
ATS8d,3.562197370307052e-05,3.450591172106859e-06
ATS0s,1.035681876093708e-06,4.468360917643757e-06
ATS1s,0.00010767035100974764,5.411231140469915e-05
ATS2s,-5.832898457114322e-06,1.3648095341403625e-05
ATS3s,0.00034221740565835155,4.874363624102018e-05
ATS4s,-1.9589341624848268e-05,2.439235218058732e-05
ATS5s,1.5729685698018248e-05,1.4364406482253334e-05
ATS6s,0.00010932708388098345,7.754715137613772e-05
ATS7s,4.152739636321678e-05,3.677112546399673e-05
ATS8s,2.031004216115351e-05,3.493992218685646e-05
ATS0Z,7.390591440630257e-05,4.4414725424341e-05
ATS1Z,2.5397269625226925e-05,2.2796970542650828e-05
ATS2Z,0.0005918876014858298,0.0002677779886057382
ATS3Z,0.0009659821680935487,0.0003090618381324637
ATS4Z,-1.5031694406641983e-06,2.7963083807836684e-05
ATS5Z,1.84311766148193e-05,1.6741112809778857e-05
ATS6Z,-4.402835042982556e-06,6.394601509020366e-06
ATS7Z,0.0001230136015095029,6.679296384950094e-05
ATS8Z,0.00026272095042018107,2.1380210765232366e-05
ATS0m,0.00012204864181903918,5.283160466424038e-05
ATS1m,2.427446556938495e-05,3.478162739882368e-05
ATS2m,0.0002845116006305659,6.043815297957346e-05
ATS3m,-1.6917061186294547e-05,6.747101372418683e-06
ATS4m,-4.5323191851798226e-07,9.058044379191005e-06
ATS5m,9.59136757031187e-05,5.820241266859769e-05
ATS6m,0.000376211943202498,0.0002009031367320435
ATS7m,0.00034740389127011493,0.00011972499126288408
ATS8m,3.8905412751188975e-05,2.028038592092162e-05
ATS0v,-1.4559640677980212e-05,3.483318711315149e-05
ATS1v,4.812425070502835e-05,6.182916648271152e-05
ATS2v,0.0003688733948627565,0.00010744480796198834
ATS3v,-2.875528381117709e-05,1.673791114270984e-05
ATS4v,2.9553734706255773e-06,8.621829266814278e-06
ATS5v,2.5963977916765303e-06,1.652892610140994e-05
ATS6v,5.0448284966475576e-05,1.620590360702477e-05
ATS7v,2.8942201334480888e-05,5.3578032376928606e-05
ATS8v,-1.7194875396608912e-05,1.4099571612620081e-05
ATS0se,-4.092931284405132e-06,4.551488325303431e-06
ATS1se,1.0589924311277255e-05,8.867420388096848e-06
ATS2se,0.00020670740442355618,3.940538494679936e-05
ATS3se,3.5406431793783e-05,1.7947685956950712e-05
ATS4se,1.932901676863219e-05,3.9140782872707296e-05
ATS5se,-6.224261387233199e-06,4.695003378116382e-06
ATS6se,8.269765814888919e-05,8.27097311823688e-05
ATS7se,8.71703230607146e-06,6.439952315353001e-06
ATS8se,-6.350795276818255e-05,0.0001594572915938511
ATS0pe,4.976908571517891e-05,5.1038738429073166e-05
ATS1pe,2.8000914570669443e-06,3.9487183679465816e-06
ATS2pe,-1.0782151424471031e-06,1.609416073012674e-05
ATS3pe,-2.2509019017569187e-05,2.068528609211159e-05
ATS4pe,7.625055489383082e-05,3.983579024016944e-05
ATS5pe,5.924240589727514e-06,4.24139785322335e-06
ATS6pe,4.6713580945878516e-06,7.320764149548118e-06
ATS7pe,-2.4796593679043964e-06,5.647503762981827e-06
ATS8pe,-1.0365009749269127e-06,4.3950387548629904e-05
ATS0are,1.3545847035467684e-05,1.9424255244888172e-05
ATS1are,1.5756417092527288e-05,1.2605791892545231e-05
ATS2are,0.00014296878216859543,5.036415026643833e-05
ATS3are,-2.757070057679556e-06,1.0580628761039435e-05
ATS4are,6.370449823701607e-05,5.1131269804464085e-05
ATS5are,-3.340035590149171e-06,1.3100562885255398e-05
ATS6are,2.20391116326768e-05,5.5821631584754974e-05
ATS7are,0.0004667460348312891,5.041397216384474e-05
ATS8are,7.77994213163602e-08,4.076019888512353e-05
ATS0p,9.255401084318215e-07,9.534809419009527e-07
ATS1p,-3.222101988775705e-07,3.4513223721470895e-06
ATS2p,-8.185561539586494e-06,3.2175964573542515e-05
ATS3p,1.5867994320484248e-05,2.0136489701319942e-05
ATS4p,-7.510565886892362e-06,9.606927234296444e-06
ATS5p,0.0003763797613088982,0.00014337022746107954
ATS6p,0.00011769214199154332,5.749482108344555e-05
ATS7p,1.708326673522942e-05,1.940452606117278e-05
ATS8p,4.5675547382917346e-05,2.939512001928984e-05
ATS0i,1.3056052956406106e-05,8.16554019184803e-06
ATS1i,-1.613524922394749e-06,1.272897456383293e-06
ATS2i,-3.0188074795489685e-08,5.654209617752751e-06
ATS3i,9.113959097223345e-05,3.494127926371432e-05
ATS4i,1.236479174706595e-05,1.0153670755349337e-05
ATS5i,2.9602794152761014e-05,2.0470256431580447e-05
ATS6i,0.00024776224551588123,0.00010038440044332202
ATS7i,-8.568478271778757e-05,7.658991524999132e-05
ATS8i,-3.975049240634299e-06,1.3267858621332911e-05
AATS0dv,8.926042439668657e-05,3.74027339375366e-05
AATS1dv,9.434009120423692e-06,1.6853590832643463e-05
AATS2dv,0.0002709562990323988,0.00013376676888600213
AATS3dv,0.0011790283820010128,0.0002467933227003016
AATS4dv,0.0022085320026788203,0.0005707114266438991
AATS5dv,0.00044334614911536454,0.00016748023738074854
AATS6dv,5.3490096925745687e-05,2.0112208690839224e-05
AATS7dv,-7.122461889107479e-05,4.750408500560542e-05
AATS8dv,0.0004333892217251556,0.00019114202424552155
AATS0d,-8.851547936639114e-06,2.5874824970294832e-05
AATS1d,2.5563822910013023e-05,1.6783604771792875e-05
AATS2d,0.00014823112966569907,9.160321419935045e-05
AATS3d,5.917378232346282e-05,5.117419097886753e-05
AATS4d,0.0003595225676943703,9.66645180748138e-05
AATS5d,6.724596436817887e-05,2.1365739000816768e-05
AATS6d,0.00020961603940066186,0.0001038175298597062
AATS7d,7.48062661860227e-05,5.904113986544799e-05
AATS8d,0.00222625261725371,0.00047123927497458746
AATS0s,0.000291408682415617,0.00011512117449829685
AATS1s,0.0001371075027960411,8.336301267770742e-05
AATS2s,1.5440453832060718e-06,1.0844529503139524e-05
AATS3s,0.000252862328777792,0.00011055317608422646
AATS4s,7.332628763710991e-05,2.4746780432766253e-05
AATS5s,1.9159861992690264e-05,1.9148400411516684e-05
AATS6s,0.00010990100495457122,4.095840631487471e-05
AATS7s,8.408481991006855e-05,7.319131674010077e-05
AATS8s,0.00023553522726748043,7.903629011749502e-05
AATS0Z,6.320140249173045e-05,0.00011235641782387262
AATS1Z,1.7680665038699583e-05,5.209379172238357e-05
AATS2Z,4.134716551379425e-05,2.359833447402907e-05
AATS3Z,0.0001569152932994977,0.0001404770537012345
AATS4Z,6.496728586851131e-05,2.3555664344467558e-05
AATS5Z,0.001733285005800156,0.0004209477366458479
AATS6Z,0.0011853739073331316,0.00035168856755370045
AATS7Z,0.0017067488206459203,0.00032559902546418733
AATS8Z,0.0005891122871449662,0.0001808477491845011
AATS0m,-5.259596738664829e-05,2.9228263012674552e-05
AATS1m,0.0002481826983393387,0.00018165421346374574
AATS2m,0.00011204461821366918,5.40383674249983e-05
AATS3m,0.0015886267850099833,0.0004418732220035599
AATS4m,3.010342071008143e-06,1.8131740584362054e-05
AATS5m,0.0007219529458865282,0.00024104065812286798
AATS6m,0.0024862318274390337,0.0006160520321307478
AATS7m,0.0029563298405640426,0.0005987121820873986
AATS8m,-2.9560681107709818e-06,6.273587073375794e-06
AATS0v,0.0003084342931855666,7.40339476025059e-05
AATS1v,0.00013639246755480227,6.179419879462043e-05
AATS2v,2.503125285627794e-05,0.00020987356158226985
AATS3v,0.0017369384679530198,0.0004970815079434407
AATS4v,0.00010120770497310528,2.7480242671670195e-05
AATS5v,0.00015641802047381415,3.192160201543837e-05
AATS6v,0.000844517346940632,0.00024859453817845117
AATS7v,0.0008134183610714163,0.0003403773394350024
AATS8v,0.0019760741789683124,0.00042416247780224347
