,compound,smiles,Cells,LogKpu,MW,TPSA,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,NumRadicalElectrons,NumValenceElectrons
0,Astemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,HEK293,-0.42021640338318983,458.58100000000024,42.32,5.351300000000005,1.0,5.0,8.0,0.9411764705882353,1.6470588235294117,2.3823529411764706,0.0,176.0
1,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,HEK293,-1.2441251443275085,558.6500000000003,111.79,6.313600000000008,4.0,5.0,12.0,0.8536585365853658,1.4634146341463414,2.048780487804878,0.0,214.0
2,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,HEK293,-0.26760624017703144,194.194,61.82,-1.0293,0.0,6.0,0.0,1.1428571428571428,1.7857142857142858,2.4285714285714284,0.0,74.0
3,Candesartan,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,HEK293,-0.9208187539523752,440.4630000000001,118.81,4.028600000000002,2.0,7.0,7.0,1.0303030303030303,1.8181818181818181,2.515151515151515,0.0,164.0
4,Cerivastatin,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,HEK293,-0.12493873660829995,459.5580000000002,99.88000000000001,4.8807000000000045,3.0,5.0,11.0,1.0909090909090908,1.696969696969697,2.212121212121212,0.0,180.0
5,Compound 1 ,C[C@@H](NC(=O)C1=CN=C(C=C1)C2=C(C)C(=CC(=C2)C(=O)NC3CC3)F)C(C)(C)C,HL60,-1.2441251443275085,397.49400000000014,71.09,4.252720000000004,2.0,3.0,5.0,1.1379310344827587,1.8275862068965518,2.3793103448275863,0.0,154.0
6,Compound 10 ,CC1=NN=C(O1)C2=CC=C(C)C(=C2)C3=CC=C(C=C3)C(=O)NCC4CC4,HL60,-1.275724130399211,347.4180000000001,68.02,4.160240000000003,1.0,4.0,5.0,1.0769230769230769,1.8076923076923077,2.4615384615384617,0.0,132.0
7,Compound 11 ,CC1=NN=C(O1)C2=CC(=C(C)C=C2)C3=CC=C(C=C3)C(=O)NC4=CC=C(N[S](C)(=O)=O)C=C4,HL60,-0.3279021420642826,462.5310000000002,114.19,4.6442400000000035,2.0,6.0,6.0,0.8484848484848485,1.4848484848484849,2.090909090909091,0.0,168.0
8,Compound 12 ,CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC=C(C=C3)C(=O)NCC4CC4,HL60,-0.958607314841775,348.44600000000014,58.2,3.6940200000000027,2.0,2.0,6.0,0.9230769230769231,1.6153846153846154,2.269230769230769,0.0,134.0
9,Compound 13 ,CC1=CC=C(NC(=O)C2=CC=NC(=C2)Cl)C=C1C3=CC=C(C=C3)C(=O)NCC4CC4,HL60,-1.1739251972991736,419.91200000000026,71.09,5.102520000000005,2.0,3.0,6.0,1.0,1.7666666666666666,2.466666666666667,0.0,152.0
10,Compound 14 ,CN1CCN(CC1)C2=NC=CC(=C2)C(=O)NC3=CC(=C(C)C=C3)C4=CC=C(C=C4)C(=O)NCC5CC5,HL60,-0.23657200643706275,483.6160000000003,77.57,4.200920000000003,2.0,5.0,7.0,0.9166666666666666,1.6666666666666667,2.388888888888889,0.0,186.0
11,Compound 15 ,CC1=C(C=C(NC(=O)C2=CC(=NC=C2)N3CCCCC3)C=C1)C4=CC=C(C=C4)C(=O)NCC5CC5,HL60,-1.958607314841775,468.6010000000002,74.33,5.439420000000005,2.0,4.0,7.0,0.9142857142857143,1.6857142857142857,2.4285714285714284,0.0,180.0
12,Compound 16 ,CC1=CC=C(C=C1C2=CC=C(C=C2)C(=O)NCC3CC3)C(=O)NC4CCCC4,HL60,-0.25181197299379954,376.5000000000002,58.2,4.4742200000000025,2.0,2.0,6.0,0.8928571428571429,1.5714285714285714,2.25,0.0,146.0
